id,target
0,0.02049
1,0.03095
2,0.02899
3,0.01531
4,0.01869
5,0.01906
6,0.03485
8,0.02361
10,0.08578
11,0.03822
12,0.03172
14,0.01687
15,0.02446
18,0.06043
21,0.05665
23,0.04302
24,0.03347
25,0.03856
27,0.04986
29,0.06291
30,0.02309
31,0.03831
32,0.08057
33,0.02967
37,0.01969
38,0.03419
39,0.03874
40,0.02792
41,0.03100
42,0.02836
44,0.02558
45,0.02332
47,0.01513
49,0.01858
51,0.03621
52,0.02287
53,0.03135
54,0.06937
55,0.02755
56,0.02244
57,0.07017
59,0.08605
60,0.03474
62,0.01752
63,0.07634
67,0.04056
68,0.01630
69,0.05261
70,0.02910
71,0.05454
73,0.05454
75,0.02436
76,0.02155
81,0.01017
82,0.03157
83,0.02035
86,0.02987
87,0.02030
88,0.03423
91,0.04370
92,0.01979
94,0.01767
97,0.03270
100,0.02609
102,0.02861
103,0.03580
105,0.02636
106,0.05553
108,0.02623
113,0.07087
114,0.03255
115,0.03057
118,0.04843
122,0.02617
124,0.03227
126,0.02864
128,0.03672
129,0.03361
130,0.04645
131,0.04423
132,0.04251
133,0.02194
134,0.05033
135,0.04159
136,0.01949
139,0.02039
140,0.03283
141,0.04444
146,0.02341
148,0.06983
151,0.02369
152,0.03600
154,0.03337
157,0.03667
158,0.02378
159,0.05879
161,0.02239
164,0.02479
165,0.05527
167,0.02701
168,0.05052
169,0.03508
171,0.02448
172,0.05493
173,0.01829
174,0.02408
175,0.04001
176,0.03387
178,0.06222
179,0.03240
180,0.02434
181,0.01519
182,0.03737
183,0.02898
184,0.04030
185,0.03280
187,0.01974
188,0.02330
190,0.02172
191,0.02888
192,0.06759
195,0.04683
196,0.02498
198,0.04378
201,0.03421
202,0.03203
203,0.02132
204,0.02361
207,0.02448
213,0.03347
219,0.02097
220,0.02769
222,0.08333
226,0.02002
228,0.06578
230,0.03015
231,0.02432
232,0.04313
233,0.03006
234,0.01417
236,0.02339
237,0.02661
238,0.07429
240,0.03001
241,0.01946
242,0.02507
243,0.05783
245,0.01385
246,0.05196
247,0.02235
249,0.04996
250,0.03016
251,0.02168
252,0.02024
253,0.02288
254,0.03742
255,0.08932
256,0.03473
257,0.01992
258,0.02629
259,0.06464
260,0.01946
262,0.02365
267,0.02461
268,0.03234
270,0.01530
272,0.02387
273,0.02400
274,0.02050
275,0.03213
276,0.02529
277,0.03801
278,0.04003
279,0.04035
281,0.04237
282,0.03418
283,0.03674
287,0.03141
288,0.04011
289,0.04424
290,0.02692
291,0.03315
292,0.10649
293,0.02521
294,0.02701
295,0.02072
296,0.11204
297,0.04225
298,0.02930
299,0.03829
300,0.03392
303,0.02011
304,0.04005
308,0.01633
314,0.06621
315,0.02705
317,0.03010
318,0.05038
320,0.04557
322,0.03772
323,0.02077
327,0.03928
329,0.06911
331,0.01428
332,0.07169
333,0.05031
334,0.02260
335,0.01972
336,0.04362
337,0.03794
341,0.04491
343,0.03753
345,0.03341
347,0.02939
348,0.01454
349,0.02628
352,0.02683
353,0.02584
354,0.04846
355,0.02380
356,0.05684
357,0.02935
358,0.03047
359,0.03716
361,0.02476
362,0.02431
365,0.03245
366,0.08635
368,0.01842
369,0.03203
371,0.02196
373,0.01862
376,0.04020
377,0.04134
379,0.02198
381,0.02576
382,0.02898
383,0.02299
384,0.06205
385,0.02138
386,0.03757
387,0.02812
388,0.06662
390,0.02323
391,0.03689
392,0.08463
393,0.03246
394,0.02239
396,0.03937
400,0.03350
402,0.05002
403,0.01960
